,hashtag,frequency
0,hydroxychloroquine,1341
1,COVID19,261
2,coronavirus,119
3,azithromycin,37
4,Covid_19,33
5,chloroquine,26
6,covid19,20
7,Trump,12
8,Covid19,11
9,COVID,9
10,Texas,7
11,HCQ,7
12,COVIDー19,6
13,Cornyn,6
14,NYC,5
15,SARSCoV2,5
16,lupus,5
17,covid,4
18,UnitedKingdom,4
19,Coronavirus,4
20,zinc,3
21,LazarusEffect,3
22,RECOVERY,3
23,Lupus,3
24,quack,3
25,FakeNews,3
26,vaccine,2
27,pandemic,2
28,clinicaltrials,2
29,hydroxychloroquine_zpack,2
30,Azithromycin,2
31,Remdesivir,2
32,arrhythmias,2
33,remdesivir,2
34,StayAtHome,1
35,medicine,1
36,study,1
37,WuhanCoronavirus,1
38,disgusting,1
39,PunkTrump,1
40,FishTankCleaner,1
41,masks,1
42,rightwing,1
43,hcq,1
44,TrumpCrimeFamily,1
45,Queens,1
46,FauciFraud,1
47,grifters,1
48,COVIDfoam,1
49,Brazil,1
50,MAGA,1
51,MichaelCohen,1
52,Chloroquine,1
53,macrolide,1
54,peramivir,1
55,DemocratGovernors,1
56,immunoglobulin,1
57,COVID_19,1
58,JoeBiden,1
59,WithoutMyHCQ,1
60,BigPharma,1
61,hydroxychloroquineandazithromycin,1
62,ObamaTaint,1
63,surgisphere,1
64,WhiteHousedoctor,1
65,resist,1
66,NIH,1
67,CoronavirusLiar,1
68,TrumpIsAnIdiot,1
69,TheGreatAwakening,1
70,NursingHomeSlaughter,1
71,WWG1WGA,1
72,Kaletra,1
73,socialdistancing,1
74,UseHydroxychloroquine,1
75,FoxNews,1
76,WhiteHouse,1
77,ThesePeopleAreSick,1
78,FactsMatter,1
79,liar,1
80,TrumpLiesPeopleDie,1
81,IDSAGuidelines,1
82,MondayVibes,1
83,RudyGiuliani,1
84,resistance,1
85,physician,1
86,OrangeClown,1
87,VoteJoe,1
88,PressConference,1
89,raoult,1
90,FDA,1
91,trump,1
92,rheumatology,1
93,falsecure,1
94,TrumpIsNotADoctor,1
95,25thAmendmentNow,1
96,antimalariadrug,1
97,LADAorg,1
98,PusherInChief,1
99,nursinghomes,1
100,Birx,1
101,TheMoreYouKnow,1
102,CORONAVIRUS,1
103,Hydroxychloroquinekills,1
104,stock,1
105,VitaminC,1
106,FAIL,1
107,OPENAMERICANOW,1
108,TrumpIsALiar,1
109,PressBriefing,1
110,TrumpVirus,1
111,TrumpLiesAmericansDie,1
112,ZelenkoProtocol,1
113,FollowTheMoney,1
114,WorldThisWeek,1
115,Donation,1
116,Raoult,1
117,TrumpPills,1
118,MotivationMonday,1
119,BernieSanders,1
120,Fauci,1
121,plaquenil,1
122,addzinc,1
123,COVIDIOTS,1
124,AIDS,1
125,DonaldLoser,1
126,Azithromycine,1
127,coronavirusnews,1
128,lopinavir,1
129,RealEyesRealizeRealLies,1
130,LupusAwarenessMonth,1
131,HIV,1
132,DrugAdministration,1
133,Novartis,1
134,AllHealthLive,1
135,testing,1
136,Covid,1
137,quarantine,1
138,VoteRedToSaveAmerica,1
